question_id,question_type,TP,FP,FN,TN,precision,recall,f1,accuracy
1,intra,0,3,0,0,0.0,0,0,0.0
2,intra,0,3,0,0,0.0,0,0,0.0
3,intra,0,3,0,0,0.0,0,0,0.0
4,intra,0,3,0,0,0.0,0,0,0.0
5,intra,0,3,0,0,0.0,0,0,0.0
6,intra,0,3,0,0,0.0,0,0,0.0
7,intra,0,3,0,0,0.0,0,0,0.0
8,intra,0,3,0,0,0.0,0,0,0.0
9,intra,0,3,0,0,0.0,0,0,0.0
10,intra,0,3,0,0,0.0,0,0,0.0
11,intra,0,3,0,0,0.0,0,0,0.0
12,intra,0,3,0,0,0.0,0,0,0.0
13,related-missing,0,3,0,0,0.0,0,0,0.0
14,related-missing,0,3,0,0,0.0,0,0,0.0
15,related-missing,0,3,0,0,0.0,0,0,0.0
16,extra,0,3,0,0,0.0,0,0,0.0
17,extra,0,3,0,0,0.0,0,0,0.0
18,extra,0,3,0,0,0.0,0,0,0.0
19,extra,0,3,0,0,0.0,0,0,0.0
20,extra,0,3,0,0,0.0,0,0,0.0
